name,url,location,price_text,price_eur,score,reviews_raw
Seaview Rooms,https://www.booking.com/hotel/gr/seaview-traditional-attic.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=183789802_403986564_3_0_0%2C183789802_403986564_3_0_0&highlighted_blocks=183789802_403986564_3_0_0%2C183789802_403986564_3_0_0&matching_block_id=183789802_403986564_3_0_0&sr_pri_blocks=183789802_403986564_3_0_0__3700%2C183789802_403986564_3_0_0__3700&from=searchresults,Vasiliki,€ 74,74.0,Scored 7.7,Scored 7.7 7.7 Good 501 reviews
Calderimi Lefkada,https://www.booking.com/hotel/gr/calderimipension.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=49639102_96239944_0_0_0%2C49639108_96239944_2_0_0&highlighted_blocks=49639102_96239944_0_0_0%2C49639108_96239944_2_0_0&matching_block_id=49639102_96239944_0_0_0&sr_pri_blocks=49639102_96239944_0_0_0__5200%2C49639108_96239944_2_0_0__4200&from=searchresults,Nydri,€ 94,94.0,Scored 9.5,Scored 9.5 9.5 Exceptional 252 reviews
Orfeas Rooms,https://www.booking.com/hotel/gr/orfeas-rooms.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=41165403_332887873_2_0_0%2C41165405_332887873_2_0_0%2C41165405_332887873_2_0_0&highlighted_blocks=41165403_332887873_2_0_0%2C41165405_332887873_2_0_0%2C41165405_332887873_2_0_0&matching_block_id=41165403_332887873_2_0_0&sr_pri_blocks=41165403_332887873_2_0_0__3200%2C41165405_332887873_2_0_0__3200%2C41165405_332887873_2_0_0__3200&from=searchresults,Vasiliki,€ 96,96.0,Scored 8.0,Scored 8.0 8.0 Very good 190 reviews
Summer Bed Nydri,https://www.booking.com/hotel/gr/summer-bed-nydri.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=140983601_204747863_2_0_0%2C140983601_204747863_2_0_0%2C140983601_204747863_2_0_0&highlighted_blocks=140983601_204747863_2_0_0%2C140983601_204747863_2_0_0%2C140983601_204747863_2_0_0&matching_block_id=140983601_204747863_2_0_0&sr_pri_blocks=140983601_204747863_2_0_0__3247%2C140983601_204747863_2_0_0__3247%2C140983601_204747863_2_0_0__3247&from=searchresults,Nydri,€ 97,97.0,Scored 7.1,Scored 7.1 7.1 Good 186 reviews
Nefeli Wind Club,https://www.booking.com/hotel/gr/nefeli-wind-club.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=29292405_357014096_6_42_0&highlighted_blocks=29292405_357014096_6_42_0&matching_block_id=29292405_357014096_6_42_0&sr_pri_blocks=29292405_357014096_6_42_0__9800&from=searchresults,Vasiliki,€ 98,98.0,Scored 7.1,Scored 7.1 7.1 Good 236 reviews
Kohyli,https://www.booking.com/hotel/gr/kohyli-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=379411007_204352272_4_0_0%2C379411008_204352272_2_0_0&highlighted_blocks=379411007_204352272_4_0_0%2C379411008_204352272_2_0_0&matching_block_id=379411007_204352272_4_0_0&sr_pri_blocks=379411007_204352272_4_0_0__6200%2C379411008_204352272_2_0_0__4700&from=searchresults,Lefkada Town,€ 109,109.0,Scored 8.1,Scored 8.1 8.1 Very good 158 reviews
Orfeas Studios,https://www.booking.com/hotel/gr/orfeas-studios-vasiliki.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=358788408_332887904_2_0_0%2C358788406_332887904_2_0_0%2C358788401_332887904_2_0_0&highlighted_blocks=358788408_332887904_2_0_0%2C358788406_332887904_2_0_0%2C358788401_332887904_2_0_0&matching_block_id=358788408_332887904_2_0_0&sr_pri_blocks=358788408_332887904_2_0_0__3300%2C358788406_332887904_2_0_0__3900%2C358788401_332887904_2_0_0__3900&from=searchresults,Vasiliki,€ 111,111.0,Scored 8.0,Scored 8.0 8.0 Very good 156 reviews
Bella Meliti,https://www.booking.com/hotel/gr/villa-meliti.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=39020301_226097909_0_0_0%2C39020303_226097909_2_0_0&highlighted_blocks=39020301_226097909_0_0_0%2C39020303_226097909_2_0_0&matching_block_id=39020301_226097909_0_0_0&sr_pri_blocks=39020301_226097909_0_0_0__6500%2C39020303_226097909_2_0_0__4800&from=searchresults,Lygia,€ 113,113.0,Scored 9.2,Scored 9.2 9.2 Superb 29 reviews
Octopus,https://www.booking.com/hotel/gr/octopus-basilike.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=1354795401_408130034_2_0_0%2C1354795401_408130034_2_0_0%2C1354795401_408130034_2_0_0&highlighted_blocks=1354795401_408130034_2_0_0%2C1354795401_408130034_2_0_0%2C1354795401_408130034_2_0_0&matching_block_id=1354795401_408130034_2_0_0&sr_pri_blocks=1354795401_408130034_2_0_0__3800%2C1354795401_408130034_2_0_0__3800%2C1354795401_408130034_2_0_0__3800&from=searchresults,Vasiliki,€ 114,114.0,Scored 9.4,Scored 9.4 9.4 Superb 42 reviews
Orizzonte Apartments Lefkada,https://www.booking.com/hotel/gr/orizzonte-apartments-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKFooXHBsACAdICJGE2ZGYwNDVhLTg5Y2ItNDc5Zi04NzNlLWRlZDUxNGZhZTA3ZtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-10-04&checkout=2025-10-05&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&srpvid=68cd76c2843502d9&srepoch=1759596806&all_sr_blocks=182151906_418680593_5_0_0%2C182151905_418680593_3_0_0&highlighted_blocks=182151906_418680593_5_0_0%2C182151905_418680593_3_0_0&matching_block_id=182151906_418680593_5_0_0&sr_pri_blocks=182151906_418680593_5_0_0__6200%2C182151905_418680593_3_0_0__5700&from=searchresults,Lefkada Town,€ 119,119.0,Scored 9.4,Scored 9.4 9.4 Superb 135 reviews
