name,url,location,price_text,price_eur,score,reviews_raw
Summer House Louisa,https://www.booking.com/hotel/gr/summer-house-louisa.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=167447101_204747850_3_0_0_649344%2C167447101_204747850_3_0_0_649344&highlighted_blocks=167447101_204747850_3_0_0_649344%2C167447101_204747850_3_0_0_649344&matching_block_id=167447101_204747850_3_0_0_649344&sr_pri_blocks=167447101_204747850_3_0_0_649344_51234%2C167447101_204747850_3_0_0_649344_51234&from=searchresults,Lygia,"€ 1,025",1025.0,Scored 7.6,Scored 7.6 7.6 Good 95 reviews
Anna's Apartments,https://www.booking.com/hotel/gr/anna-39-s-apartments-leukada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=534864601_415802423_6_0_0&highlighted_blocks=534864601_415802423_6_0_0&matching_block_id=534864601_415802423_6_0_0&sr_pri_blocks=534864601_415802423_6_0_0__113240&from=searchresults,Nikiana,"€ 1,132",1132.0,Scored 9.8,Scored 9.8 9.8 Exceptional 30 reviews
Zois' House,https://www.booking.com/hotel/gr/zois-39-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=243134503_340063200_6_0_0&highlighted_blocks=243134503_340063200_6_0_0&matching_block_id=243134503_340063200_6_0_0&sr_pri_blocks=243134503_340063200_6_0_0__115080&from=searchresults,Sívros,"€ 1,151",1151.0,Scored 8.8,Scored 8.8 8.8 Fabulous 35 reviews
Regalo Apartments,https://www.booking.com/hotel/gr/regalo-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=174522803_414706010_6_0_0&highlighted_blocks=174522803_414706010_6_0_0&matching_block_id=174522803_414706010_6_0_0&sr_pri_blocks=174522803_414706010_6_0_0__117320&from=searchresults,Lygia,"€ 1,173",1173.0,Scored 9.0,Scored 9.0 9.0 Superb 134 reviews
Premedinos inn,https://www.booking.com/hotel/gr/premedinos-inn-lazarata.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=190827601_414143092_3_0_0%2C190827601_414143092_3_0_0&highlighted_blocks=190827601_414143092_3_0_0%2C190827601_414143092_3_0_0&matching_block_id=190827601_414143092_3_0_0&sr_pri_blocks=190827601_414143092_3_0_0__58900%2C190827601_414143092_3_0_0__58900&from=searchresults,Lazaráta,"€ 1,178",1178.0,Scored 9.0,Scored 9.0 9.0 Superb 129 reviews
Santas Rooms,https://www.booking.com/hotel/gr/santas-rooms-asproyerakata.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=233747101_412053691_2_0_0%2C233747101_412053691_2_0_0%2C233747101_412053691_2_0_0&highlighted_blocks=233747101_412053691_2_0_0%2C233747101_412053691_2_0_0%2C233747101_412053691_2_0_0&matching_block_id=233747101_412053691_2_0_0&sr_pri_blocks=233747101_412053691_2_0_0__40040%2C233747101_412053691_2_0_0__40040%2C233747101_412053691_2_0_0__40040&from=searchresults,Asprogerakata,"€ 1,201",1201.0,Scored 9.2,Scored 9.2 9.2 Superb 29 reviews
Eleonas Country House,https://www.booking.com/hotel/gr/eleonas-country-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1403533801_412163632_6_0_0&highlighted_blocks=1403533801_412163632_6_0_0&matching_block_id=1403533801_412163632_6_0_0&sr_pri_blocks=1403533801_412163632_6_0_0__121520&from=searchresults,Marantochori,"€ 1,215",1215.0,Scored 10,Scored 10 10 Exceptional 7 reviews
Terra del Nonno 2,https://www.booking.com/hotel/gr/terra-del-nonno-2.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1452711701_416618475_6_0_0&highlighted_blocks=1452711701_416618475_6_0_0&matching_block_id=1452711701_416618475_6_0_0&sr_pri_blocks=1452711701_416618475_6_0_0__121520&from=searchresults,Drymon,"€ 1,215",1215.0,,
center apartments,https://www.booking.com/hotel/gr/center-apartments-lefkada.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=1461304801_422582827_6_0_0&highlighted_blocks=1461304801_422582827_6_0_0&matching_block_id=1461304801_422582827_6_0_0&sr_pri_blocks=1461304801_422582827_6_0_0__134827&from=searchresults,Lefkada Town,"€ 1,348",1348.0,Scored 8.0,Scored 8.0 8.0 Very good 3 reviews
Apartments Filoxenia Zois,https://www.booking.com/hotel/gr/apartments-filoxenia-zois.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9sZWZrYWRhSAlYBGhNiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALJ6ejHBsACAdICJGNlMzFjMTMwLWM0ZGEtNDkzMi04NmE4LWVkNDRhNjM3YTRjZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-01&checkout=2026-08-08&group_adults=6&req_adults=6&no_rooms=3&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&srpvid=ce3f626451aa0135&srepoch=1761227982&all_sr_blocks=158110402_88608326_6_0_0&highlighted_blocks=158110402_88608326_6_0_0&matching_block_id=158110402_88608326_6_0_0&sr_pri_blocks=158110402_88608326_6_0_0__126336&from=searchresults,Nikiana,"€ 1,263",1263.0,Scored 8.9,Scored 8.9 8.9 Fabulous 71 reviews
